date	cryptoCurrency	title	isPositive	category	link
2021-05-21	ETH	"How Ethereum plans to get around a major drag on crypto prices"	TRUE	ECOLOGY	https://qz.com/2011329/ethereums-recovery-is-tied-to-it-becoming-more-energy-efficient
2021-05-23	ETH	"4 Reasons to Buy Ether Over Dogecoin"	TRUE	RECOMMENDATIONS	https://www.fool.com/the-ascent/buying-stocks/articles/4-reasons-to-buy-ether-over-dogecoin/
2021-05-24	ETH	"Goldman Ethereum Prediction: Will It Eclipse Bitcoin?"	TRUE	RECOMMENDATIONS	https://financhill.com/blog/investing/goldman-ethereum-prediction-will-it-beat-bitcoin
2021-05-24	ETH	"Bitcoin, Ethereum, Doge and other crypto get a boost from a Musk tweet"	TRUE	CULTURE	https://www.forexlive.com/Cryptocurrency/!/bitcoin-ethereum-doge-and-other-crypto-get-a-boost-from-a-musk-tweet-20210524
2021-06-21	ETH	"Ethereum Creator Loses Over $400 Million As Crypto Market Collapses"	FALSE	ECONOMIC	https://www.forbes.com/sites/emilymason/2021/06/21/ethereum-creator-loses-over-400-million-as-crypto-market-collapses/
2021-06-21	ETH	"Andrew Ross Sorkin On Crypto: My Kids Are Using Ethereum"	TRUE	RECOMMENDATIONS	https://bitcoinist.com/andrew-ross-sorkin-on-crypto-my-kids-are-using-ethereum/
2021-08-13	ETH	"Market Wrap: Ethereum Keeps Burning and Price Is Hot"	TRUE	ECONOMIC	https://www.coindesk.com/markets/2021/08/13/market-wrap-ethereum-keeps-burning-and-price-is-hot/
2021-08-13	ETH	"Chicago’s First NFT Gallery imnotArt Lives in the Ethereum Metaverse Too"	TRUE	TECHNOLOGY	https://decrypt.co/78511/chicago-nft-gallery-imnotart-ethereum-metaverse
2021-09-07	ETH	"The Standard Chartered Bank Thinks Ethereum Can Hit $35,000—When?"	TRUE	RECOMMENDATIONS	https://www.binance.com/en/square/post/1326645
2021-09-07	ETH	"Crypto tsunami as bitcoin suddenly loses $9,000"	FALSE	ECONOMIC	https://nairametrics.com/2021/09/07/crypto-tsunami-as-bitcoin-suddenly-loses-9000/
2021-09-20	ETH	"Ethereum Is Ready For Inevitable Climb Over $10,000, Says Crypto Analyst"	TRUE	RECOMMENDATIONS	https://www.newsbtc.com/news/ethereum/ethereum-ready-for-climb-over-10000/
2021-09-20	ETH	"Ethereum Falls 13%, Other Coins Follow in Crypto Rollercoaster"	FALSE	ECONOMIC	https://www.tomshardware.com/news/etherum-falls-13-percent-bitcoin-falls-11-percent
2021-09-21	ETH	"Ethereum 'head & shoulders' chart pattern puts ETH price at risk of dropping to $2K"	FALSE	RECOMMENDATIONS	https://cointelegraph.com/news/ethereum-head-shoulders-chart-pattern-puts-eth-price-at-risk-of-dropping-to-2k
2021-09-21	ETH	"Major Brazilian Bank BTG Pactual to Offer Investment Options in Bitcoin and Ethereum"	TRUE	TECHNOLOGY	https://cryptopotato.com/major-brazilian-bank-btg-pactual-to-offer-investment-options-in-bitcoin-and-ethereum/
2021-09-22	ETH	"Ethereum Killers May Cut the Price of ETH in Half, According to JPMorgan Strategist"	FALSE	RECOMMENDATIONS	https://dailyhodl.com/2021/09/22/ethereum-killers-may-cut-the-price-of-eth-in-half-according-to-jpmorgan-strategist/
2021-11-20	ETH	"Crypto.com adds Polygon support for Ethereum deposits and withdrawals"	TRUE	TECHNOLOGY	https://ambcrypto.com/crypto-com-adds-polygon-support-for-ethereum-deposits-and-withdrawals/
2021-11-20	ETH	"Ethereum Price Analysis: This Bullish Pattern Hints The ETH/BTC Price Will Grow 65% In The Near Future; Check Out Our Price Analysis"	TRUE	RECOMMENDATIONS	https://coingape.com/ethereum-price-analysis-this-bullish-pattern-hints-the-eth-btc-price-will-grow-65-in-the-near-future-check-out-our-price-analysis/
2021-11-28	ETH	"Vitalik Buterin announces Ethereum scaling roadmap using the Graph protocol"	TRUE	TECHNOLOGY	https://www.fxstreet.com/cryptocurrencies/news/vitalik-buterin-announces-ethereum-scaling-roadmap-using-the-graph-protocol-202111281110
2021-10-01	ETH	"Polygon Founder Says Ethereum Is Set To Replace Bitcoin As The Global Standard"	TRUE	RECOMMENDATIONS	https://www.newsbtc.com/news/ethereum/ethereum-is-set-to-replace-bitcoin/
2021-10-01	ETH	"Bitcoin, ethereum rise as Venezuela launches digital currency"	TRUE	POLITICS	https://finance.yahoo.com/news/bitcoin-ethereum-rise-venezuela-launches-digital-currency-081104851.html
2021-10-29	ETH	"Ethereum Price Hits New All-Time High After Altair Upgrade"	TRUE	ECONOMIC	https://decrypt.co/84753/ethereum-price-hits-new-all-time-high-altair-upgrade
2021-11-26	ETH	"Over a million Ethereum tokens have been burned since the big upgrade, but transaction costs are still a pain point for the network"	FALSE	TECHNOLOGY	https://www.businessinsider.in/cryptocurrency/news/million-ethereum-token-burned-since-london-hard-fork-but-transaction-costs-continue-to-be-a-pain-point/articleshow/87933378.cms
2021-12-03	ETH	"Academic research claims ETH is a ‘superior’ store of value to Bitcoin"	TRUE	RECOMMENDATIONS	https://cointelegraph.com/news/academic-research-claims-eth-is-a-superior-store-of-value-to-bitcoin
2021-12-04	ETH	"Why Bitcoin, Ethereum, Solana, and Cardano Plunged Double Digits This Weekend"	FALSE	ECONOMIC	https://www.fool.com/investing/2021/12/04/why-bitcoin-ethereum-solana-and-cardano-plunged-do/
2021-12-09	ETH	"Ethereum transaction fees are running sky-high. That's infuriating users and boosting rivals like solana and avalanche."	FALSE	TECHNOLOGY	https://markets.businessinsider.com/news/currencies/ethereum-transaction-gas-fees-high-solana-avalanche-cardano-crypto-blockchain-2021-12
2021-12-13	ETH	"BBVA Switzerland adds ether to its cryptocurrency custody and trading service"	TRUE	TECHNOLOGY	https://www.bbva.com/en/innovation/bbva-switzerland-adds-ether-to-its-cryptocurrency-custody-and-trading-service/
